ts,queue
0.0,0.0
2.332475473171058,1.0
2.5953536130475916,2.0
3.6925802144818,3.0
6.45939734998565,4.0
8.573989535332474,5.0
9.078268956998846,6.0
13.945390453866526,5.0
14.707528106717373,6.0
14.93454241958726,5.0
19.533846271795827,6.0
20.150654557067654,5.0
23.15084277395969,4.0
23.777361701001954,5.0
23.85008402162958,6.0
25.42108553026641,5.0
28.74154923958224,4.0
29.962935969700226,5.0
30.20767483843311,4.0
31.701045574553742,5.0
32.35737055147761,4.0
32.38938506337634,5.0
33.45303671212994,6.0
34.677493686326386,7.0
35.24746482571024,8.0
36.25771186288219,7.0
37.7016523317018,6.0
37.97837793153554,7.0
40.568687238548925,8.0
43.717193068234025,7.0
45.69858102789606,6.0
48.49223738548696,7.0
49.22090456010074,6.0
51.68171061145391,7.0
51.870452867546355,6.0
51.98817316874813,7.0
53.2586104985916,8.0
53.78709354662614,7.0
54.7052899537724,8.0
56.298240467060566,7.0
57.46429262990094,8.0
59.15207232452548,9.0
59.236227224484985,8.0
63.117356123217164,7.0
63.987454402091785,6.0
64.22811501967435,7.0
67.13854039869109,6.0
67.59439073943888,5.0
72.22717765385164,4.0
75.61898431208584,3.0
81.21457173157128,4.0
83.44065032576671,3.0
86.2618569825472,4.0
92.55444496219924,3.0
94.61983363543064,4.0
95.16351358188247,5.0
95.53152822214975,6.0
98.1670809556581,5.0
104.22453187867634,4.0
105.67421897868536,3.0
110.67133626970967,4.0
110.73542377313318,5.0
111.69616120387954,6.0
112.71332183996357,7.0
116.17570904075833,6.0
116.5987691683478,7.0
118.73131792311987,8.0
121.91876759277866,7.0
123.74380553230434,8.0
123.83311052603932,9.0
125.12533241335714,8.0
126.24459370681643,7.0
130.8770544605348,6.0
131.08739346402933,7.0
135.62234989922328,8.0
136.03945948421705,7.0
137.24073766718215,8.0
137.93954163411922,7.0
138.23622686037177,8.0
139.71943762719556,9.0
141.87163034025542,8.0
143.39817710613636,9.0
144.57081180241534,10.0
144.64350973534624,9.0
145.3874224532213,10.0
146.52720909013024,11.0
148.2921429658674,10.0
148.5175780788153,11.0
150.34475640536985,10.0
150.84288968589973,11.0
153.97942282550778,10.0
155.67086991935605,11.0
155.74214899213393,10.0
159.07809828833462,9.0
160.94869923193858,10.0
161.0420052789902,11.0
162.01649034984743,10.0
162.04698469340903,9.0
162.81492637102545,10.0
163.050268132742,11.0
163.17994193739133,12.0
167.44151451133126,11.0
168.54585598550102,10.0
171.3238258129832,11.0
172.6133038418264,10.0
175.29072110712232,9.0
177.64912534270476,10.0
178.60953983969884,9.0
179.556254691211,8.0
179.64847226182744,9.0
184.14739006494827,8.0
184.2296581353454,7.0
189.08351379214255,8.0
189.14314836700729,9.0
189.51900706178404,8.0
190.32911130334386,7.0
192.0951387360017,8.0
193.7464044274554,7.0
194.65774103943087,6.0
196.21411116699738,7.0
197.7856004175318,6.0
198.20632579765265,7.0
199.56260704745446,8.0
201.51790321390638,9.0
202.25129476522375,10.0
204.5818155428506,9.0
205.47418995292549,8.0
206.6026097207601,9.0
209.26506648264476,8.0
210.8767900518501,7.0
210.9477982719669,8.0
214.67076884978644,7.0
216.8902177044044,6.0
218.99431156114244,5.0
221.1892694720097,6.0
222.7191427965047,7.0
223.43812017383604,6.0
224.31010880119626,7.0
224.66156791191563,6.0
225.11146241153216,7.0
226.13228660532897,8.0
227.02827049944145,9.0
229.49436773999327,8.0
230.09816361423347,7.0
233.30111188413468,6.0
234.30511818702183,7.0
234.4305492309948,8.0
237.46051013077636,9.0
240.53739600507967,8.0
242.53377396159163,7.0
246.1554023131586,6.0
247.67418279028257,5.0
253.0809504493179,6.0
253.15345812287586,5.0
253.6634039744009,6.0
255.36615802375067,7.0
255.88471319619856,8.0
257.76190048589973,7.0
258.2997883238254,6.0
258.98607958810805,7.0
263.1056667867395,6.0
265.9291610426795,7.0
265.9395917795252,8.0
266.8292165779374,9.0
269.731530333956,10.0
269.9457576950171,9.0
270.42090668761995,10.0
270.9804296652306,11.0
271.4533199946432,10.0
275.8753621036796,11.0
275.9952737212022,12.0
276.54179167799515,11.0
277.7023301842084,10.0
278.7258639977038,11.0
281.0956461375245,10.0
283.08988105534,9.0
284.064386454021,10.0
286.767501380954,9.0
286.9115841040635,10.0
287.14069650187605,9.0
288.9942435435038,10.0
292.4713703699775,9.0
292.92220686607874,10.0
292.9512032135674,11.0
293.18394652577405,10.0
296.3265594197736,9.0
297.717089108917,10.0
298.4504836897206,9.0
300.7399429570222,10.0
301.87304479337837,9.0
303.30839476341026,8.0
307.53695698570243,7.0
308.00995021715744,6.0
309.62854405711704,7.0
309.7514537292284,8.0
311.1522161878093,9.0
311.5650227664583,8.0
312.53183550058054,9.0
314.62793057587197,8.0
318.3027847372423,7.0
319.8339720428907,8.0
320.35039027613254,9.0
322.7893437323701,8.0
323.78843117248994,9.0
324.35991620478893,8.0
329.5260019852712,7.0
329.96294456629226,8.0
332.3521600519621,7.0
333.56430532881444,6.0
336.31869821952836,7.0
337.28375600105664,8.0
338.1134801939019,9.0
339.30905788520255,8.0
339.35956902209256,9.0
339.508695002827,8.0
343.8320844545853,7.0
344.9247166199242,6.0
350.0892547511627,7.0
353.44974666802733,8.0
354.0694475109166,9.0
356.31582242704116,8.0
357.27411710411394,7.0
360.6591254318985,8.0
361.2328877531326,9.0
362.20105235885,8.0
362.27965546580623,9.0
362.87970861453925,10.0
363.0903200626048,9.0
366.1114831604894,10.0
367.20441381710026,9.0
369.118100865895,8.0
371.10312989122457,9.0
372.28083618301844,10.0
373.3574414999623,9.0
375.47509304757,10.0
375.52059754098366,11.0
376.7059699561057,10.0
377.76151598235185,9.0
378.77195799635604,10.0
380.49135028873593,11.0
380.60077800991917,12.0
382.45753656615364,11.0
382.776509409982,10.0
385.2792923551731,11.0
385.8243458051867,12.0
386.54542494249245,11.0
387.5264254657325,10.0
389.4407089664391,9.0
390.57495495132184,10.0
392.5787901387522,9.0
394.54392994666443,8.0
395.4842077493439,9.0
395.5077382423966,10.0
395.8618606043462,11.0
396.13845333231404,10.0
400.28184138480776,11.0
400.49720593828664,12.0
400.63652672347735,11.0
401.19489334633056,10.0
403.3191983097455,11.0
405.8241422656387,12.0
406.92023821850495,11.0
407.0544542411852,10.0
410.3683558316292,9.0
410.77770655501274,8.0
417.23436220172067,7.0
417.7086392915061,6.0
418.0341409678801,7.0
418.11506100532137,8.0
418.34407735834844,9.0
421.20537044960855,8.0
423.3292436124097,7.0
425.5649254624001,8.0
425.57966547862344,9.0
426.240556470189,8.0
429.8343565009675,7.0
430.4585610688159,8.0
431.07177467286033,9.0
432.29769705133265,8.0
434.1001542155387,9.0
435.81020204739787,10.0
437.00742655978695,9.0
437.7739100560158,10.0
438.29387495807947,9.0
441.1347254071058,10.0
442.0224658406807,11.0
443.1628916547728,10.0
444.7000603027744,9.0
447.01544269164856,8.0
447.34394676339906,9.0
447.84961730234033,8.0
450.59037618217246,9.0
452.6294272460515,8.0
453.3725390798387,7.0
455.0465828845104,6.0
455.84281550656465,7.0
457.90469431793065,8.0
460.6547371589372,9.0
461.03930833421265,8.0
461.1131571632215,7.0
462.90950368575085,8.0
463.28341696812646,9.0
463.60017835154986,10.0
465.2351365902002,11.0
465.673118702522,12.0
467.0047036874673,13.0
467.5781049527769,12.0
468.059838602527,11.0
469.2597171024325,12.0
474.38380824295876,11.0
475.2017948910621,10.0
477.5327997220701,11.0
479.35688617052017,10.0
479.46098370200764,9.0
