application_id,app_request_ts,got_coordinator_ts,release_coordinator_ts,got_approver_ts,release_approver_ts,got_coordinator2_ts,release_coordinator2_ts,got_indirectbuyer_ts,release_indirectbuyer_ts,exit_system_ts
6,9.078268956998846,9.078268956998846,10.465809991971486,10.465809991971486,14.93454241958726,,,14.93454241958726,22.201005924169298,22.201005924169298
7,14.707528106717373,14.707528106717373,17.002133250640508,17.002133250640508,20.150654557067654,,,20.150654557067654,23.958604852625918,23.958604852625918
2,2.5953536130475916,2.5953536130475916,17.25590969183599,17.25590969183599,23.15084277395969,,,23.15084277395969,29.731248526138657,29.731248526138657
1,2.332475473171058,2.332475473171058,19.75718743332521,20.150654557067654,25.42108553026641,,,25.42108553026641,30.554283670312163,30.554283670312163
5,8.573989535332474,8.573989535332474,9.178599257331616,9.178599257331616,13.945390453866526,13.945390453866526,28.16959596801579,29.731248526138657,34.32885762215943,34.32885762215943
4,6.45939734998565,6.45939734998565,20.23252992082879,23.15084277395969,28.74154923958224,,,30.554283670312163,35.72516862792383,35.72516862792383
3,3.6925802144818,3.6925802144818,25.825517618235068,25.825517618235068,30.20767483843311,,,34.32885762215943,37.47800651351858,37.47800651351858
12,31.701045574553742,31.701045574553742,31.86014215717149,31.86014215717149,36.25771186288219,,,36.25771186288219,41.43867248982479,41.43867248982479
13,32.38938506337634,32.38938506337634,33.2971331865015,33.2971331865015,37.7016523317018,,,37.7016523317018,44.11564496690251,44.11564496690251
9,23.777361701001954,23.777361701001954,27.30585467097917,28.74154923958224,32.35737055147761,32.35737055147761,39.23876794233136,41.43867248982479,45.43621363134821,45.43621363134821
11,29.962935969700226,29.962935969700226,37.97837793153554,37.97837793153554,43.717193068234025,,,44.11564496690251,50.110556351107164,50.110556351107164
18,40.568687238548925,40.568687238548925,40.89889302321163,40.89889302321163,45.69858102789606,,,45.69858102789606,50.35902258781165,50.35902258781165
16,35.24746482571024,35.24746482571024,41.04589895499389,43.717193068234025,49.22090456010074,,,50.110556351107164,56.68879078882628,56.68879078882628
10,23.85008402162958,23.85008402162958,41.346735347579525,45.69858102789606,51.870452867546355,,,51.870452867546355,56.9878192154031,56.9878192154031
19,48.49223738548696,48.49223738548696,50.32704675310296,51.870452867546355,56.298240467060566,,,56.68879078882628,61.68106637569948,61.68106637569948
17,36.88432136962703,37.97837793153554,57.46429262990094,57.46429262990094,63.117356123217164,,,63.117356123217164,68.12573265133001,68.12573265133001
8,19.533846271795827,19.533846271795827,59.15207232452548,59.236227224484985,63.987454402091785,,,63.987454402091785,68.94579879708876,68.94579879708876
15,34.677493686326386,34.677493686326386,61.52327481437911,63.987454402091785,67.13854039869109,,,68.12573265133001,72.92577246808725,72.92577246808725
24,55.164265242585095,57.46429262990094,61.08626859619326,63.117356123217164,67.59439073943888,,,68.94579879708876,75.53183905611424,75.53183905611424
14,33.45303671212994,33.45303671212994,46.6872051904027,49.22090456010074,53.78709354662614,53.78709354662614,67.77800119548618,72.92577246808725,77.88177012143004,77.88177012143004
22,53.2586104985916,53.2586104985916,64.46208086202039,67.13854039869109,72.22717765385164,,,75.53183905611424,80.10932744558802,80.10932744558802
20,51.68171061145391,51.68171061145391,51.69776002584306,53.78709354662614,59.236227224484985,61.08626859619326,72.61373806666562,77.88177012143004,83.24492557934856,83.24492557934856
26,64.22811501967435,64.22811501967435,70.98987560271475,70.98987560271475,75.61898431208584,,,80.10932744558802,84.10804411241693,84.10804411241693
28,86.2618569825472,86.2618569825472,87.85669271938113,87.85669271938113,92.55444496219924,,,92.55444496219924,97.60835309642012,97.60835309642012
21,51.98817316874813,51.98817316874813,77.96974226548164,77.96974226548164,83.44065032576671,83.44065032576671,92.81208329344008,92.81208329344008,97.80563087083684,97.80563087083684
27,81.21457173157128,81.21457173157128,101.9731877661198,101.9731877661198,105.67421897868536,,,105.67421897868536,109.78828266365181,109.78828266365181
30,95.16351358188247,95.16351358188247,99.55750050094927,99.55750050094927,104.22453187867634,,,104.22453187867634,110.27674752638394,110.27674752638394
29,94.61983363543064,94.61983363543064,95.70713951551852,95.70713951551852,98.1670809556581,98.1670809556581,106.75751736301217,109.78828266365181,116.14978235323012,116.14978235323012
31,95.53152822214975,95.53152822214975,110.33101141013289,110.33101141013289,116.17570904075833,,,116.17570904075833,121.6281134728657,121.6281134728657
36,116.5987691683478,116.5987691683478,116.72498782131245,116.72498782131245,121.91876759277866,,,121.91876759277866,127.47814758345382,127.47814758345382
34,111.69616120387954,111.69616120387954,121.02901316900284,121.02901316900284,125.12533241335714,,,125.12533241335714,129.7107263715272,129.7107263715272
32,110.67133626970967,110.67133626970967,124.73695096486459,125.12533241335714,130.8770544605348,,,130.8770544605348,134.4410907832454,134.4410907832454
39,123.83311052603932,123.83311052603932,130.87150218529098,130.87150218529098,136.03945948421705,,,136.03945948421705,140.32432558395217,140.32432558395217
40,131.08739346402933,131.08739346402933,132.78043313184523,132.78043313184523,137.93954163411922,,,137.93954163411922,144.3614064374027,144.3614064374027
23,54.7052899537724,54.7052899537724,122.13241066929547,122.13241066929547,126.24459370681643,126.24459370681643,139.71943762719556,140.32432558395217,146.50354953160053,146.50354953160053
37,118.73131792311987,118.73131792311987,138.23622686037177,138.23622686037177,144.64350973534624,,,146.50354953160053,150.32546209059984,150.32546209059984
35,112.71332183996357,112.71332183996357,134.49528603833122,136.03945948421705,141.87163034025542,,,144.3614064374027,150.4329822425274,150.4329822425274
33,110.73542377313318,110.73542377313318,143.39817710613636,143.39817710613636,148.2921429658674,,,150.32546209059984,155.32489748087693,155.32489748087693
41,135.62234989922328,135.62234989922328,144.57081180241534,144.64350973534624,150.34475640536985,,,150.4329822425274,156.1901302431718,156.1901302431718
25,57.17298924340769,59.15207232452548,145.3874224532213,148.2921429658674,153.97942282550778,,,155.32489748087693,160.4820155616731,160.4820155616731
44,139.0367743773701,139.71943762719556,146.52720909013024,150.34475640536985,155.74214899213393,,,156.1901302431718,161.0354977715565,161.0354977715565
45,140.69491023612753,143.39817710613636,155.67086991935605,159.07809828833462,162.04698469340903,,,162.04698469340903,166.44459060475148,166.44459060475148
